Object,Price,Figure
"Sold  Jan 13, 2019 LOT OF 3  CELTIC WHEEL MONEY",$0.99,466.jpg
"Sold  Jan 13, 2019 4 Ancient Celtic Artefacts - Fibula",$48.00,1632.jpg
"Sold  Jan 13, 2019 EVIL EYE BRONZE CELTIC APPLIQUE",$1.99,74.jpg
"Sold  Jan 13, 2019 BYZANTINE LEAD BROCH PEDANT WITH GREEN AND WHITE BEADS",$9.99,1241.jpg
"Sold  Jan 13, 2019 CELTIC MASSIVE  SNAKE BRONZE EARRING",$15.50,1557.jpg
"Sold  Jan 13, 2019 BRONZE ROMAN SQUARE WITH GLASS PASTE RARE",$1.99,1841.jpg
"Sold  Jan 13, 2019  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$9.99,1666.jpg
"Sold  Jan 13, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$31.00,1278.jpg
"Sold  Jan 13, 2019 BIG RARE CELTIC WHEEL PROTO Money 800 BC 400 BC , BRONZE , 32,35 GRAMS 55MM",$41.00,1813.jpg
"Sold  Jan 12, 2019 1700's - 1800's  CELTIC STYLE ORTHODOX BELIEVERS CROSS    POSSIBLY SILVER",$14.50,161.jpg
"Sold  Jan 12, 2019 Celtic or Roman Pendant Amulet with authentic decorative paste (Authentic 100 %)",$1.00,1347.jpg
"Sold  Jan 12, 2019 Celtic Pendant Amulet Miniature Sword  III- II century BC.(Authentic 100 %)",$1.00,1538.jpg
"Sold  Jan 12, 2019  VIKING BRONZE HANGER WITH TWO HOOKS",$0.99,1021.jpg
"Sold  Jan 12, 2019 MILITARY ROMAN CROSS SHAPE APPLIQUE",$0.99,572.jpg
"Sold  Jan 12, 2019 unknown artifact from bronze",$0.99,244.jpg
"Sold  Jan 12, 2019  RARE-ANCIENT-IRON-ARROWHEAD-ARCHERS-BATTLE-WEAPON",$1.99,631.jpg
"Sold  Jan 12, 2019 CELTIC SOCK APPLICATION BRONZE evil eye",$0.99,229.jpg
"Sold  Jan 12, 2019 ANCIENT BEADS, Ancient Roman Bronze Beads",$0.99,1110.jpg
