Date,Object,Price,Location,Category,Object Type,Material,Link
2019-04-05 00:00:00,"Sold Apr 5 , 2019 Ancient Roman 10 1 BC Mosaic bead multi color bead pendant Very rare intact , ",16.5,0,roman | ,jewellery | household | ,?,"Manama, default, Bahrain"
2018-11-13 00:00:00,"Sold Nov 13 , 2018 BEAUTIFUL ANCIENT EGYPTIAN GLAZED WINGED SCARAB WITH hieroglyphics ",59.37,United Kingdom,egyptian  | ,jewellery | tool | text | ,terracotta | ,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-GLAZED-WINGED-SCARAB-WITH-HEIROGLYPHICS/153248895085?hash=item23ae58906d%3Ag%3AhbYAAOSw7R9b4YSL&LH_Auction=1
2018-12-12 00:00:00,"Sold Dec 12 , 2018 GENUINE FOSSILISED INSECT IN AMBER circa 44 million BC ",35.76,United Kingdom,?,?,stone | ,https://www.ebay.com/itm/GENUINE-FOSSILISED-INSECT-IN-AMBER-circa-44-million-BC/401651049748?hash=item5d8444a514%3Ag%3ARgcAAOSwWH1cB8Tg&LH_Auction=1
2018-10-25 00:00:00,"Sold Oct 25 , 2018 Very Old Crystal Rock stone Agate stone & Glass beads Necklace # j ",51,Thailand,?,jewellery | ,stone | glass | ,https://www.ebay.com/itm/Very-Old-Crystal-Rock-stone-Agate-stone-Glass-beads-Necklace-5J/283220699476?hash=item41f144e954%3Ag%3AQgUAAOSwKDpby3hf&LH_Auction=1
2019-02-18 00:00:00,"Sold Feb 18 , 2019 RARE statistic DEVIL RING FOUND WITH METAL DETECTOR VERY LATE / MODERN PERIOD ",35,Austria,?,jewellery | ,metal | ,https://www.ebay.com/itm/RARE-SATANISTIC-DEVIL-RING-FOUND-WITH-METAL-DETECTOR-VERY-LATE-MODERN-PERIOD/223384217369?hash=item3402bca719%3Ag%3AAfwAAOSwjF9cVy%7ET&LH_Auction=1
2018-12-05 00:00:00,"Sold Dec 5 , 2018 AUTHENTIC ANCIENT CHINESE MING DYNASTY CELADON PORCELAIN BOWL +768 ",26.47,United Kingdom,china | ,vessel | ,terracotta | ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-CHINESE-MING-DYNASTY-CELADON-PORCELAIN-BOWL-L768/253995496359?hash=item3b234fb3a7%3Ag%3Ay8wAAOSwC8pb9-MI&LH_Auction=1
2018-11-12 00:00:00,"Sold Nov 12 , 2018 Gold hitchin ! ! Plated Physical hitchin in protective acrylic case HOT SELLING ! ! ",0.17,China,?,?,metal | ,https://www.ebay.com/itm/Gold-BITCOIN-Plated-Physical-Bitcoin-in-protective-acrylic-case-HOT-SELLING/132847696304?hash=item1eee56f9b0%3Ag%3AmzEAAOSwPUZbYQ9f&LH_Auction=1
2018-12-19 00:00:00,"Sold Dec 19 , 2018 INTACT Ptolemaic Period Circa 300 BC Bronze Triple Blade pocketed Arrowhead ",5.56,Cyprus,egyptian  | ,weapon | ,metal | ,https://www.ebay.com/itm/INTACT-Ptolemaic-Period-Circa-300-BC-Bronze-Triple-Blade-Socketed-Arrowhead/202535637354?hash=item2f2810916a%3Ag%3A%7EgAAAOSwEJ1cES%7E1&LH_Auction=1
2019-02-02 00:00:00,"Sold Feb 2 , 2019 BEAUTIFUL ANCIENT EGYPTIAN GLAZED SCARAB 300 BC ( 2 ) ",25.82,United Kingdom,egyptian  | ,jewellery | tool | ,terracotta | ,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-GLAZED-SCARAB-300-BC-2/312448635565?hash=item48bf63d2ad%3Ag%3AUFAAAOSw7F9cTx5S&LH_Auction=1
2019-05-02 00:00:00,"Sold May 2 , 2019 Viking SILVER Bronze Axe Shaped Scandinavian Amulet Pendant Inscribed symbols ",5.14,0,viking | ,religious | jewellery | text | ,metal | ,"Marrakech, Morocco"
