Object,Price,Location,Link
"Sold  Feb 15, 2019 Scythian Sword- akinak. Scythians. 77 cm. Excellent condition. ORIGINAL!!!",$597.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Scythian-Sword-akinak-Scythians-77-cm-Excellent-condition-ORIGINAL/401701532106?hash=item5d8746f1ca%3Ag%3AgDwAAOSwhhlcKBSX&LH_Auction=1
"Sold  Feb 15, 2019 Sword of the Viking. The Vikings. Big Battle/Combat sword.",$810.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Battle-Combat-sword/273693516549?hash=item3fb967a305%3Ag%3ACHAAAOSwn6JbyfQA&LH_Auction=1
"Sold  Feb 15, 2019 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 80 cm",$124.60,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Saber-Sword-of-Khazar-Khaganate-about-8-9-centuries-ORIGINAL-Length-80-cm/273693515720?hash=item3fb9679fc8%3Ag%3A2y0AAOSwx-lcG7%7EI&LH_Auction=1
"Sold  Feb 15, 2019 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$560.00,"Bad Schwalbach, Germany",https://www.ebay.com/itm/Helmet-of-ancient-Rus-12-century-Polovtsy-Original-condition-Without-resto/273693498240?hash=item3fb9675b80%3Ag%3A1ckAAOSwEwNcXhm8&LH_Auction=1
"Sold  Feb 15, 2019 Hallstatt (c. 800 BC) Celtic bronze bowl (bowl in bowl), opening 9 5/8"" across",$555.00,"Moscow, Russian Federation",https://www.ebay.com/itm/Hallstatt-c-800-BC-Celtic-bronze-bowl-bowl-in-bowl-opening-9-5-8-across/123636600272?hash=item1cc950cdd0%3Ag%3ADOAAAOSwUpFcANNe&LH_Auction=1
"Sold  Feb 14, 2019 Roman bronze blade",$36.00,"Beirut, United States",https://www.ebay.com/itm/Roman-bronze-blade/292951575145?hash=item4435464a69%3Ag%3AjuAAAOSw1YRcXH-k&LH_Auction=1
"Sold  Feb 14, 2019 Roman iron key",$3.00,"Zenica, Bosnia and Herzegovina",https://www.ebay.com/itm/Roman-iron-key/303054383194?hash=item468f72e85a%3Ag%3A5rEAAOSwaKVcXH8n&LH_Auction=1
"Sold  Feb 14, 2019 Celtic brooch with inlay",$36.00,"North Antrim Coast, United Kingdom",https://www.ebay.com/itm/Celtic-brooch-with-inlay/303054381456?hash=item468f72e190%3Ag%3ALqoAAOSwSudcNyFq&LH_Auction=1
"Sold  Feb 14, 2019 Celtic anchor formed brooch",$10.00,"London, United Kingdom",https://www.ebay.com/itm/Celtic-anchor-formed-brooch/303054379024?hash=item468f72d810%3Ag%3AOd0AAOSwWkFcXH4l&LH_Auction=1
"Sold  Feb 14, 2019 Late Roman plate brooch with Victory",$17.50,"London, United Kingdom",https://www.ebay.com/itm/Late-Roman-plate-brooch-with-Victory/303054377473?hash=item468f72d201%3Ag%3Ax58AAOSw78xcXH2g&LH_Auction=1
"Sold  Feb 14, 2019 Romano- British silver trumpet brooch",$37.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Romano-British-silver-trumpet-brooch/292951565149?hash=item443546235d%3Ag%3AILQAAOSwg%7E9cXHzm&LH_Auction=1
"Sold  Feb 14, 2019 Roman axe formed brooch",$15.50,"London, United Kingdom",https://www.ebay.com/itm/Roman-axe-formed-brooch/292951562797?hash=item4435461a2d%3Ag%3At8sAAOSwuHdcXHyC&LH_Auction=1
"Sold  Feb 14, 2019 Romano- British zoomorphic brooch",$53.00,"Didcot, United Kingdom",https://www.ebay.com/itm/Romano-British-zoomorphic-brooch/303054372074?hash=item468f72bcea%3Ag%3A8JoAAOSwaeVcXHu2&LH_Auction=1
"Sold  Feb 14, 2019 Roman military brooch with silver decoration",$36.00,"North Antrim Coast, United Kingdom",https://www.ebay.com/itm/Roman-military-brooch-with-silver-decoration/303054366986?hash=item468f72a90a%3Ag%3AX8gAAOSwqpFcXHnn&LH_Auction=1
"Sold  Feb 14, 2019 Lot of 5 Roman and Celtic brooch #2",$36.50,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-and-Celtic-brooch-2/292951551359?hash=item443545ed7f%3Ag%3A23sAAOSwBKBcXHlG&LH_Auction=1
"Sold  Feb 14, 2019 Lot of 5 Roman and Celtic brooch",$36.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-and-Celtic-brooch/303054358926?hash=item468f72898e%3Ag%3AHX8AAOSweRxcXHhd&LH_Auction=1
"Sold  Feb 14, 2019 Lot of 5 Roman knee brooch - different types",$41.00,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Lot-of-5-Roman-knee-brooch-different-types/292951544235?hash=item443545d1ab%3Ag%3AyG4AAOSwMDhcXHeo&LH_Auction=1
"Sold  Feb 13, 2019 1 Ancient Celtic Glass Bead Celts VERY RARE!  TOP !!",$11.50,"Bavaria, Germany",https://www.ebay.com/itm/1-Ancient-Celtic-Glass-Bead-Celts-VERY-RARE-TOP/143122979175?hash=item2152cb5967%3Ag%3A5MYAAOSw9GdcXaHS&LH_Auction=1
"Sold  Feb 12, 2019 European Bronze Age knife fragment 4 1/4""",$30.00,"East Weymouth, Massachusetts, United States",https://www.ebay.com/itm/European-Bronze-Age-knife-fragment-4-1-4/123631946074?hash=item1cc909c95a%3Ag%3ASLQAAOSwew9cTUqY&LH_Auction=1
