Object,Price,Figure
"Sold  Jan 4, 2019 Lot of 3 Roman trumpet brooch",$26.51,1639.jpg
"Sold  Jan 4, 2019 Romano- British Horseman formed brooch with enamel",$51.00,12222.jpg
"Sold  Jan 4, 2019 Roman iron arrow- head",$3.25,7260.jpg
"Sold  Jan 4, 2019 Roman enamelled plate brooch",$26.00,3707.jpg
"Sold  Jan 4, 2019 Roman bronze spoon",$26.00,4304.jpg
"Sold  Jan 4, 2019 Roman bird formed brooch",$6.06,2438.jpg
"Sold  Jan 4, 2019 Lot of 5 Roman and Celtic brooch",$36.00,11645.jpg
"Sold  Jan 4, 2019 Roman openwork brooch",$15.50,11852.jpg
"Sold  Jan 4, 2019 Roman zoomorphic brooch with niello work",$16.50,2879.jpg
"Sold  Jan 4, 2019 Romano- British zoomorphic brooch",$26.00,116.jpg
"Sold  Jan 4, 2019 Celtic axe formed amulet",$20.50,12048.jpg
"Sold  Jan 4, 2019 Celtic brooch",$17.50,11227.jpg
"Sold  Jan 4, 2019 Roman iron scale- libra",$10.00,1045.jpg
"Sold  Jan 4, 2019 Roman bronze key",$5.50,4586.jpg
"Sold  Jan 4, 2019 Roman military brooch with engraved concentric pattern",$26.00,4630.jpg
"Sold  Jan 4, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1945.jpg
"Sold  Jan 3, 2019 Scythian ritual sword / saber. Ritual sword murder.",$182.50,11838.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$32.00,11369.jpg
"Sold  Jan 2, 2019 CELTIC ** Silver RING ** MANS WEDDING BAND ** GREAT",$20.00,5327.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$37.00,875.jpg
"Sold  Jan 1, 2019 EXCELLENT BRONZE AGE DECORATED SPIRAL BRACELET - BANGLE",$29.00,9995.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 82 cm",$172.50,6506.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 85 cm",$202.50,9278.jpg
"Sold  Dec 30, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$707.00,8624.jpg
"Sold  Dec 30, 2018 Ancient Jewelry Ring Bronze 2,000 Years Old Antique Roman Celtic? Spiral Design",$89.00,11722.jpg
"Sold  Dec 30, 2018 LOT OF 3  CELTIC WHEEL MONEY",$0.99,10668.jpg
"Sold  Dec 30, 2018 ANCIENT PARFUM PENDANT HOLDER",$0.99,5050.jpg
"Sold  Dec 30, 2018 FACE BRONZE BELT BUCKLE",$0.99,492.jpg
"Sold  Dec 30, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$33.00,11986.jpg
"Sold  Dec 29, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$113.51,1660.jpg
"Sold  Dec 29, 2018 Scythian ritual sword / saber. Ritual sword murder.",$266.01,11838.jpg
"Sold  Dec 29, 2018 Sword of the Viking. The Vikings. Big Combat Sword. 99 cm","$1,025.00",8446.jpg
"Sold  Dec 29, 2018 CELTIC BRONZE RING ARTEFACT 7 EVIL EYES",$20.50,5193.jpg
"Sold  Dec 29, 2018 A379. Roman style bronze horse figurine",$14.99,4206.jpg
"Sold  Dec 28, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1945.jpg
"Sold  Dec 28, 2018 1 Ancient Celtic Clay Bead Celts VERY RARE!  TOP !!",$20.00,2966.jpg
"Sold  Dec 27, 2018 ** EXCELLENT ** Ancient CELTIC Bronze ring ** SNAKES  **",$36.00,2907.jpg
"Sold  Dec 27, 2018 Celtic Sword - Spata, 3-4 century AD",$232.51,5182.jpg
"Sold  Dec 27, 2018 AUTHENTIC CELTIC TERRACOTTA HOUSE ALTAR AND IDOLS - 400 BC - FOUND TOGETHER",$44.00,9814.jpg
"Sold  Dec 26, 2018 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",$15.50,9917.jpg
"Sold  Dec 26, 2018 Ancient Celtic Bronze Armlet",$42.50,1237.jpg
"Sold  Dec 25, 2018 Authentic Celtic  Proto Money",$5.50,5062.jpg
"Sold  Dec 25, 2018 ANCIENT CELTIC GLASS PASTE BEADS - 5 PIECES - 400 BC - RARE",$20.50,6253.jpg
"Sold  Dec 23, 2018 ** CROSS ** CELTIC BONE AMULET PENDANT 100 AD * RARE !!",$26.00,4368.jpg
"Sold  Dec 23, 2018 Celtic ancient  proto coins rings , Viking payment ingots 1-4 century BC",$1.25,752.jpg
"Sold  Dec 23, 2018 Bronze Age hair ring - insignia of rank",$5.50,3971.jpg
"Sold  Dec 23, 2018 Celtic iron brooch",$15.50,8119.jpg
"Sold  Dec 23, 2018 Lot of 7 Roman and Celtic brooch",$41.00,4325.jpg
"Sold  Dec 23, 2018 Early Iron Age Astragalos Belt - Hallstatt Culture",$95.00,12413.jpg
"Sold  Dec 23, 2018 Late Bronze Age Socketed Axe",$94.39,8121.jpg
"Sold  Dec 23, 2018 Roman silver trumpet brooch",$34.00,11639.jpg
"Sold  Dec 23, 2018 Romano- british cockerel formed brooch",$27.00,3220.jpg
"Sold  Dec 23, 2018 Roman zoomorphic knee brooch",$94.00,7815.jpg
"Sold  Dec 23, 2018 Lot of 7 Barbarian medals/ amulets",$8.50,6945.jpg
"Sold  Dec 23, 2018 Roman legionary fitting - buckle plate",$7.50,10077.jpg
"Sold  Dec 23, 2018 Roman silver finger ring with engraved letters",$22.50,2576.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved emeror on ship",$3.00,1453.jpg
"Sold  Dec 23, 2018 Roman seal ring with engraved lion",$4.26,1441.jpg
"Sold  Dec 23, 2018 Roman silver medical tool",$16.50,11959.jpg
"Sold  Dec 23, 2018 Lot of 5 Roman and Celtic brooch",$36.00,11645.jpg
"Sold  Dec 23, 2018 ANCIENT BYZANTINE PARFUM  HOLDER PENDANT",$0.99,1573.jpg
"Sold  Dec 23, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$53.00,11986.jpg
"Sold  Dec 23, 2018 LONG PHALIC FERTILITY BRONZE AMULET",$21.00,8205.jpg
"Sold  Dec 23, 2018 beautiful CELTIC DECORATED HAIR PIN",$9.99,7455.jpg
"Sold  Dec 23, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$14.00,8473.jpg
"Sold  Dec 23, 2018 A286, Celtic style bronze ring money.",$13.00,794.jpg
"Sold  Dec 22, 2018 ANCIENT LA TENE PERIOD CELTIC BRONZE FIBULA  - RARE !",$13.50,8473.jpg
"Sold  Dec 22, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$8.39,1945.jpg
"Sold  Dec 22, 2018 A384.Celtic style figurine of warrior.",$17.00,12319.jpg
"Sold  Dec 22, 2018 A378. Celtic style bronze horse figurine",$19.00,11633.jpg
"Sold  Dec 21, 2018 Sword of the Viking. The Vikings. Combat Sword. 86 cm",$856.00,9888.jpg
"Sold  Dec 21, 2018 Meotian sword. Meoty. 4th century. Very good condition. Length 70 cm.",$352.75,12068.jpg
