Object,Price,Figure
"Sold  Jan 4, 2019 Lot of 3 Roman trumpet brooch",$26.51,1573.jpg
"Sold  Jan 4, 2019 Romano- British Horseman formed brooch with enamel",$51.00,11644.jpg
"Sold  Jan 4, 2019 Roman iron arrow- head",$3.25,6942.jpg
"Sold  Jan 4, 2019 Roman enamelled plate brooch",$26.00,3541.jpg
"Sold  Jan 4, 2019 Roman bronze spoon",$26.00,4103.jpg
"Sold  Jan 4, 2019 Roman bird formed brooch",$6.06,2334.jpg
"Sold  Jan 4, 2019 Lot of 5 Roman and Celtic brooch",$36.00,11101.jpg
"Sold  Jan 4, 2019 Roman openwork brooch",$15.50,11300.jpg
"Sold  Jan 4, 2019 Roman zoomorphic brooch with niello work",$16.50,2755.jpg
"Sold  Jan 4, 2019 Romano- British zoomorphic brooch",$26.00,113.jpg
"Sold  Jan 4, 2019 Celtic axe formed amulet",$20.50,11487.jpg
"Sold  Jan 4, 2019 Celtic brooch",$17.50,10700.jpg
"Sold  Jan 4, 2019 Roman iron scale- libra",$10.00,1002.jpg
"Sold  Jan 4, 2019 Roman bronze key",$5.50,4369.jpg
"Sold  Jan 4, 2019 Roman military brooch with engraved concentric pattern",$26.00,4411.jpg
"Sold  Jan 4, 2019 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1866.jpg
"Sold  Jan 3, 2019 Scythian ritual sword / saber. Ritual sword murder.",$182.50,11286.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC  BRONZE MIRROR .",$32.00,10834.jpg
"Sold  Jan 2, 2019 CELTIC ** Silver RING ** MANS WEDDING BAND ** GREAT",$20.00,5082.jpg
"Sold  Jan 2, 2019  ANCIENT CELTIC VOTIVE BRONZE KNIFE AMULET PENDANT.",$37.00,840.jpg
"Sold  Jan 1, 2019 EXCELLENT BRONZE AGE DECORATED SPIRAL BRACELET - BANGLE",$29.00,9532.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 82 cm",$172.50,6209.jpg
"Sold  Dec 30, 2018 Saber / Sword of Khazar Khaganate (about 8 - 9 centuries) ORIGINAL! Length 85 cm",$202.50,8853.jpg
"Sold  Dec 30, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$707.00,8231.jpg
"Sold  Dec 30, 2018 Ancient Jewelry Ring Bronze 2,000 Years Old Antique Roman Celtic? Spiral Design",$89.00,11174.jpg
"Sold  Dec 30, 2018 LOT OF 3  CELTIC WHEEL MONEY",$0.99,10167.jpg
"Sold  Dec 30, 2018 ANCIENT PARFUM PENDANT HOLDER",$0.99,4817.jpg
"Sold  Dec 30, 2018 FACE BRONZE BELT BUCKLE",$0.99,476.jpg
"Sold  Dec 30, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money-Pre-Coin-Wearable-224  P",$33.00,11430.jpg
"Sold  Dec 29, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$113.51,1593.jpg
"Sold  Dec 29, 2018 Scythian ritual sword / saber. Ritual sword murder.",$266.01,11286.jpg
"Sold  Dec 29, 2018 Sword of the Viking. The Vikings. Big Combat Sword. 99 cm","$1,025.00",8060.jpg
"Sold  Dec 29, 2018 CELTIC BRONZE RING ARTEFACT 7 EVIL EYES",$20.50,4954.jpg
"Sold  Dec 29, 2018 A379. Roman style bronze horse figurine",$14.99,4013.jpg
"Sold  Dec 28, 2018 3 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$15.50,1866.jpg
"Sold  Dec 28, 2018 1 Ancient Celtic Clay Bead Celts VERY RARE!  TOP !!",$20.00,2839.jpg
"Sold  Dec 27, 2018 ** EXCELLENT ** Ancient CELTIC Bronze ring ** SNAKES  **",$36.00,2780.jpg
