Object,Price,Location,Link
"Sold  Feb 3, 2019 Vintage Reproduction Ancient Greek Apulian Red Figure Owl Skyphos Pair LOT",$405.00,"West Sussex, United Kingdom",https://www.ebay.com/itm/Vintage-Reproduction-Ancient-Greek-Apulian-Red-Figure-Owl-Skyphos-Pair-LOT/323664877976?hash=item4b5bee1998%3Ag%3Al2QAAOSwFoNcSjl9&LH_Auction=1
"Sold  Feb 3, 2019 Vintage Reproduction Greek Canosan Hellenistic Terracotta Nude Man Statue Figure",$44.01,"Farmingdale, New York, United States",https://www.ebay.com/itm/Vintage-Reproduction-Greek-Canosan-Hellenistic-Terracotta-Nude-Man-Statue-Figure/292932593496?hash=item443424a758%3Ag%3A61QAAOSwe%7ElcSj4%7E&LH_Auction=1
"Sold  Feb 3, 2019 Replica 800 BCE Neolithic Cypriot Mycenae Minoan Earthenware Pottery Vessel Jug",$152.50,"Didcot, United Kingdom",https://www.ebay.com/itm/Replica-800-BCE-Neolithic-Cypriot-Mycenae-Minoan-Earthenware-Pottery-Vessel-Jug/323664862963?hash=item4b5beddef3%3Ag%3AqK4AAOSwi6dcSjZJ&LH_Auction=1
"Sold  Feb 3, 2019 ANTIQUE ANCIENT ROMAN GREEK MILLIFIORI MOSAIC GLASS WINE CUP BOWL",$330.00,"moungchumphon, chumphon, Thailand",https://www.ebay.com/itm/ANTIQUE-ANCIENT-ROMAN-GREEK-MILLIFIORI-MOSAIC-GLASS-WINE-CUP-BOWL/173764835604?hash=item287530f914%3Ag%3AFfwAAOSwDmxcTfi1&LH_Auction=1
"Sold  Feb 3, 2019 *SC*RARE CYPRUS, CYPRIOT BEAK-SPOUTED POTTERY JUG, c. 1700-1400 BC!",$149.00,"Dagenham, United Kingdom",https://www.ebay.com/itm/SC-RARE-CYPRUS-CYPRIOT-BEAK-SPOUTED-POTTERY-JUG-c-1700-1400-BC/333039478935?hash=item4d8ab32897%3Ag%3AKZwAAOSwvapcTj1t&LH_Auction=1
"Sold  Feb 3, 2019 *SC*CYPRUS POTTERY CUP, MIDDLE BRONZEAGE, c. 1750 - 1550 BC!",$167.00,"Dagenham, United Kingdom",https://www.ebay.com/itm/SC-CYPRUS-POTTERY-CUP-MIDDLE-BRONZEAGE-c-1750-1550-BC/223348064860?hash=item340095025c%3Ag%3AeZkAAOSwtvZcTj1f&LH_Auction=1
"Sold  Feb 3, 2019 *SC*CYPRIOT POTTERY JUG w. BLACK LINEAR PAINTED DECORATION!!",$193.50,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-CYPRIOT-POTTERY-JUG-w-BLACK-LINEAR-PAINTED-DECORATION/223348064777?hash=item3400950209%3Ag%3AhsUAAOSw7MNcTj1W&LH_Auction=1
"Sold  Feb 3, 2019 ** DEER **Ancient Silver Greek Ring **AMAZING **",$31.00,"Serbia, Serbia",https://www.ebay.com/itm/DEER-Ancient-Silver-Greek-Ring-AMAZING/303042949069?hash=item468ec46fcd%3Ag%3AOucAAOSwkv5cTkt8&LH_Auction=1
"Sold  Feb 3, 2019 *SC*CHOICE PAIR OF GREEK HELLENISTIC POTTERY OIL LAMPS, 4th-3rd. cent. BC!",$74.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-CHOICE-PAIR-OF-GREEK-HELLENISTIC-POTTERY-OIL-LAMPS-4th-3rd-cent-BC/333039478556?hash=item4d8ab3271c%3Ag%3A-50AAOSwIApcTj1C&LH_Auction=1
"Sold  Feb 3, 2019 *SC*CHOICE PAIR OF GREEK HELLENISTIC POTTERY OIL LAMPS, 4th-3rd. cent. BC!",$76.00,"Frederiksberg, Denmark",https://www.ebay.com/itm/SC-CHOICE-PAIR-OF-GREEK-HELLENISTIC-POTTERY-OIL-LAMPS-4th-3rd-cent-BC/333039478556?hash=item4d8ab3271c%3Ag%3A-50AAOSwIApcTj1C&LH_Auction=1
