Object,Price,Location,Link
"Sold  May 2, 2019 ANCIENT EGYPTIAN USHABTI SHABTI AMULET",$26.95,"Didcot, United Kingdom",https://www.ebay.com/itm/ANCIENT-EGYPTIAN-USHABTI-SHABTI-AMULET/153462685375?hash=item23bb16bebf%3Ag%3AyDsAAOSwoX9cwEyq&LH_Auction=1
"Sold  May 2, 2019 Rare ANCIENT EGYPTIAN ANTIQUES Bronze Statue Isis Suckling Horus 2685-2180 BC",$65.00,"luxor, Egypt",https://www.ebay.com/itm/Rare-ANCIENT-EGYPTIAN-ANTIQUES-Bronze-Statue-Isis-Suckling-Horus-2685-2180-BC/153469260495?hash=item23bb7b12cf%3Ag%3A9-MAAOSwUERcx3Wo&LH_Auction=1
"Sold  May 2, 2019 BEAUTIFUL EGYPTIAN GLAZED FAIENCE RING WITH CARTOUCHE",$35.42,"Didcot, United Kingdom",https://www.ebay.com/itm/BEAUTIFUL-EGYPTIAN-GLAZED-FAIENCE-RING-WITH-CARTOUCHE/153462675525?hash=item23bb169845%3Ag%3AjAwAAOSwVJVcwEjl&LH_Auction=1
"Sold  May 2, 2019 BEAUTIFUL VINTAGE EGYPTIAN STONE CANOPIC JAR WITH HEIROGLYPHS AND ANUBIS HEAD",$16.40,"Didcot, United Kingdom",https://www.ebay.com/itm/BEAUTIFUL-VINTAGE-EGYPTIAN-STONE-CANOPIC-JAR-WITH-HEIROGLYPHS-AND-ANUBIS-HEAD/153462691428?hash=item23bb16d664%3Ag%3AFnUAAOSwECtcwE5x&LH_Auction=1
"Sold  May 2, 2019 SCARCE ANCIENT EGYPTIAN CARVED ALABASTER KOHL VESSEL",$65.60,"Didcot, United Kingdom",https://www.ebay.com/itm/SCARCE-ANCIENT-EGYPTIAN-CARVED-ALABASTER-KOHL-VESSEL/153462692232?hash=item23bb16d988%3Ag%3Ai5gAAOSwwP1cwE7p&LH_Auction=1
"Sold  May 2, 2019 TWO Rare Antique Stone Scarab Beetle Amulet Figurine Ancient Egyptian",$35.00,"Kitchener, Ontario, Canada",https://www.ebay.com/itm/TWO-Rare-Antique-Stone-Scarab-Beetle-Amulet-Figurine-Ancient-Egyptian/163672690488?hash=item261ba70f38%3Ag%3A7GkAAOSwBkNcBx3m&LH_Auction=1
"Sold  May 2, 2019 Fine Antique Egyptian Faience Ushabti (Shabti) Statue Figure",$45.00,"ON, Canada",https://www.ebay.com/itm/Fine-Antique-Egyptian-Faience-Ushabti-Shabti-Statue-Figure/163663411877?hash=item261b197aa5%3Ag%3AzNoAAOSw7PpcwHqJ&LH_Auction=1
"Sold  May 2, 2019 Fine Antique Egyptian Faience Ushabti (Shabti) Statue Figure...LARGE",$55.00,"Kitchener, Ontario, Canada",https://www.ebay.com/itm/Fine-Antique-Egyptian-Faience-Ushabti-Shabti-Statue-Figure-LARGE/163663381122?hash=item261b190282%3Ag%3AepIAAOSwAvNcwHka&LH_Auction=1
"Sold  May 2, 2019 Vintage Marble Sphinx",$30.00,,
"Sold  May 2, 2019 Amazing rare Coptic Egyptian papyrus  in Greek and Latin",$80.00,"London, United Kingdom",https://www.ebay.com/itm/Amazing-rare-Coptic-Egyptian-papyrus-in-Greek-and-Latin/133039632487?hash=item1ef9c7b067%3Ag%3AR18AAOSwxXZcypFv&LH_Auction=1
