Date,Object,Price,Location,Category,Link
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Antique Celtic Brooch Penannular Fibula Silver Large 6.75"" Wide Vintage Viking",100.99,United States,celt,https://www.ebay.com/itm/Antique-Celtic-Brooch-Penannular-Fibula-Silver-Large-6-75-Wide-Vintage-Viking/143037528507?hash=item214db379bb%3Ag%3AlOsAAOSwEX5cBJcl&LH_Auction=1
2018-12-22 00:00:00,"Sold  Dec 22, 2018 Ottoman Turkish antique IRON ISLAMIC calligraphy SCISSORS, No Provenance",200.0,United States,islamic,https://www.ebay.com/itm/Ottoman-Turkish-antique-IRON-ISLAMIC-calligraphy-SCISSORS-No-Provenance/302998351034?hash=item468c1becba%3Ag%3ACM4AAOSwvcFcFWNl&LH_Auction=1
2018-11-07 00:00:00,"Sold  Nov 7, 2018 55# Old Islamic Yemeni Dagger Jambiya Jambya Khanjar Bedouin",460.0,Germany,islamic,https://www.ebay.com/itm/55-Old-Islamic-Yemeni-Dagger-Jambiya-Jambya-Khanjar-Bedouin/163340059842?hash=item2607d384c2%3Ag%3AxVYAAOSwRxJb1Sua&LH_Auction=1
2018-11-25 00:00:00,"Sold  Nov 25, 2018 Green Rare Old Agate Stone With Wonderful WritingvHoly Quran Verse Dua God Bless",18.99,Thailand,islamic,https://www.ebay.com/itm/Green-Rare-Old-Agate-Stone-With-Wonderful-WritingvHoly-Quran-Verse-Dua-God-Bless/323560574772?hash=item4b55b68f34%3Ag%3AZGsAAOSwcABb45Wo&LH_Auction=1
2018-11-06 00:00:00,"Sold  Nov 6, 2018 23x12.3 cm Old Khorasan Persian Ceramic islamic calligraphic Bowl  Horse & Lion",239.49,United States,islamic,https://www.ebay.com/itm/23x12-3-cm-Old-Khorasan-Persian-Ceramic-islamic-calligraphic-Bowl-Horse-Lion/273538173648?hash=item3fb0254ad0%3Ag%3Ai5QAAOSwqOFb20Zf&LH_Auction=1
2018-12-20 00:00:00,"Sold  Dec 20, 2018 Carnelian Agate old Islamic",20.0,,islamic,
2018-10-30 00:00:00,"Sold  Oct 30, 2018 ANCIENT BRONZE EARLY CELTIC AXE",52.01,United Kingdom,celt,https://www.ebay.com/itm/ANCIENT-BRONZE-EARLY-CELTIC-AXE/183494848447?hash=item2ab9252fbf%3Ag%3ArdMAAOSwE95bywLd&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 ANCIENT CELTIC BRONZE SOLAR AMULET - WEARABLE  - 400 BC",11.0,,celt,
2018-12-16 00:00:00,"Sold  Dec 16, 2018 CELTIC BRONZE RING ARTEFACT EVIL EYE",10.5,,celt,
2019-01-14 00:00:00,"Sold  Jan 14, 2019 Ottoman jug With inscriptions And writings Salient Of bronze very rare",3.25,Turkey,islamic,https://www.ebay.com/itm/Ottoman-jug-With-inscriptions-And-writings-Salient-Of-bronze-very-rare/143085674070?hash=item2150921e56%3Ag%3AQUQAAOSwKXhcNiMp&LH_Auction=1
2018-12-22 00:00:00,"Sold  Dec 22, 2018 Vintage Egyptian Dallah Coffee Pot Arab Tea East Islamic Copper Brass Etched Old",0.99,Israel,egyptian,https://www.ebay.com/itm/Vintage-Egyptian-Dallah-Coffee-Pot-Arab-Tea-East-Islamic-Copper-Brass-Etched-Old/273612172763?hash=item3fb48e6ddb%3Ag%3AsMcAAOSw5EpcFSk9&LH_Auction=1
2018-10-21 00:00:00,"Sold  Oct 21, 2018 Barbarian earring with silver roman denar and glass beads",15.51,Slovakia,roman,https://www.ebay.com/itm/Barbarian-earring-with-silver-roman-denar-and-glass-beads/302921018717?hash=item46877fed5d%3Ag%3AaEEAAOSw5oxbw4-s&LH_Auction=1
2019-01-10 00:00:00,"Sold  Jan 10, 2019 Magnificent Antique Middle Eastern Islamic Silver Plated Hammered Tray Cairoware",30.0,Egypt,islamic,https://www.ebay.com/itm/Magnificent-Antique-Middle-Eastern-Islamic-Silver-Plated-Hammered-Tray-Cairoware/254052155154?hash=item3b26b03f12%3Ag%3Aiy4AAOSwC45cLokH&LH_Auction=1
2018-12-17 00:00:00,"Sold  Dec 17, 2018 Antique Islamic Cairoware Mamluk Middle Eastern Brass Inlaid Silver Plate & Bowl",48.0,Russia,islamic,https://www.ebay.com/itm/Antique-Islamic-Cairoware-Mamluk-Middle-Eastern-Brass-Inlaid-Silver-Plate-Bowl/143047423608?hash=item214e4a7678%3Ag%3AElcAAOSwzcNcDw7B&LH_Auction=1
2018-10-25 00:00:00,"Sold  Oct 25, 2018 ANTIQUE ISLAMIC DECORATED AND GLAZED BOWL",1.28,Denmark,islamic,https://www.ebay.com/itm/ANTIQUE-ISLAMIC-DECORATED-AND-GLAZED-BOWL/153222245683?hash=item23acc1ed33%3Ag%3ARygAAOSwWB5bxzx7&LH_Auction=1
2018-12-10 00:00:00,"Sold  Dec 10, 2018 Antique Ottoman jewelry box decorated with shell , handmade very rare",0.99,Macedonia,islamic,https://www.ebay.com/itm/Antique-Ottoman-jewelry-box-decorated-with-shell-handmade-very-rare/143041032731?hash=item214de8f21b%3Ag%3Aq8EAAOSw8YFboP8z&LH_Auction=1
2018-11-07 00:00:00,"Sold  Nov 7, 2018 47#Old Antique Islamic Ottoman / Russian / German Dagger Kindjal Kinzal",171.51,Germany,islamic,https://www.ebay.com/itm/47-Old-Antique-Islamic-Ottoman-Russian-German-Dagger-Kindjal-Kinzal/163340031520?hash=item2607d31620%3Ag%3Ae7YAAOSwPrtb1SI-&LH_Auction=1
2018-11-18 00:00:00,"Sold  Nov 18, 2018 A lantern engraved with the emblem of the Ottoman Empire Of bronze Old and rare",0.99,Turkey,islamic,https://www.ebay.com/itm/A-lantern-engraved-with-the-emblem-of-the-Ottoman-Empire-Of-bronze-Old-and-rare/143006490015?hash=item214bd9dd9f%3Ag%3APP8AAOSwfMlb5JOb&LH_Auction=1
2018-12-12 00:00:00,"Sold  Dec 12, 2018 22# Old Rare Antique Islamic Yemen / Ottoman / Persian Powder Horn Flask",54.01,Germany,islamic,https://www.ebay.com/itm/22-Old-Rare-Antique-Islamic-Yemen-Ottoman-Persian-Powder-Horn-Flask/163409913953?hash=item260bfd6861%3Ag%3AyKUAAOSw%7EBRcA62o&LH_Auction=1
2018-11-07 00:00:00,"Sold  Nov 7, 2018 35# Old Rare Islamic Antique Ottoman Turkish Yelek Waistcoat Hand Embroidered",177.5,Germany,islamic,https://www.ebay.com/itm/35-Old-Rare-Islamic-Antique-Ottoman-Turkish-Yelek-Waistcoat-Hand-Embroidered/163339919673?hash=item2607d16139%3Ag%3A6E4AAOSwwXRb1QoQ&LH_Auction=1
