Object,Price,Location,Link
"Sold  Jan 18, 2019 Sword of the Viking. The Vikings. Big Combat Sword. 92cm. SWORD VIKING ORIGINAL",$476.89,"Houston, Texas, United States",https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Combat-Sword-92cm-SWORD-VIKING-ORIGINAL/401682368851?hash=item5d86228953%3Ag%3Aj2oAAOSwvwRcKA5s&LH_Auction=1
"Sold  Jan 18, 2019 RARE 9-10th CENTURY BRONZE VIKING-STYLE PAGAN THREE-BELL AMULET",$20.50,"Marrakech, Morocco",https://www.ebay.com/itm/RARE-9-10th-CENTURY-BRONZE-VIKING-STYLE-PAGAN-THREE-BELL-AMULET/183626363385?hash=item2ac0fbf1f9%3Ag%3AKJ4AAOSwrHtcNJDF&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Viking Bronze pendant AMULET ""HALBERD"" GREAT SAVE Green Patina",$4.25,"Moscow, Russian Federation",https://www.ebay.com/itm/Ancient-Viking-Bronze-pendant-AMULET-HALBERD-GREAT-SAVE-Green-Patina/183626362181?hash=item2ac0fbed45%3Ag%3AeEIAAOSwCEhcNJAv&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Viking Bronze pendant AMULET ""SUN"" GREAT SAVE",$2.50,,
"Sold  Jan 18, 2019 Ancient Viking Old Bronze FABULOUS STATUS Ring Runic Ornament VERY RARE",$31.00,"Moscow, Russian Federation",https://www.ebay.com/itm/Ancient-Viking-Old-Bronze-FABULOUS-STATUS-Ring-Runic-Ornament-VERY-RARE/183626345059?hash=item2ac0fbaa63%3Ag%3AeOsAAOSwxrJcNI3%7E&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Viking Old Bronze FABULOUS STATUS Ring Runic Ornament VERY RARE",$23.50,"Moscow, Russian Federation",https://www.ebay.com/itm/Ancient-Viking-Old-Bronze-FABULOUS-STATUS-Ring-Runic-Ornament-VERY-RARE/183626345059?hash=item2ac0fbaa63%3Ag%3AeOsAAOSwxrJcNI3%7E&LH_Auction=1
"Sold  Jan 18, 2019 The Vikings. Ancient Black-Green Volcanic Glass Finger Ring, circa 950-1000 AD.",$26.00,"Marrakech, Morocco",https://www.ebay.com/itm/The-Vikings-Ancient-Black-Green-Volcanic-Glass-Finger-Ring-circa-950-1000-AD/183626343752?hash=item2ac0fba548%3Ag%3AlooAAOSwjMtcNI2X&LH_Auction=1
"Sold  Jan 18, 2019 Ancient Viking Bead-Decoration Bronze Large Textured 900-1100AD",$15.50,"Moscow, Russian Federation",https://www.ebay.com/itm/Ancient-Viking-Bead-Decoration-Bronze-Large-Textured-900-1100AD/183626341548?hash=item2ac0fb9cac%3Ag%3A8NwAAOSwQqZcNIz5&LH_Auction=1
"Sold  Jan 18, 2019 ancient Viking Large bell ""Sea shell"" REALLY ancient",$19.38,"Moscow, Russian Federation",https://www.ebay.com/itm/ancient-Viking-Large-bell-Sea-shell-REALLY-ancient/183626339834?hash=item2ac0fb95fa%3Ag%3AYLUAAOSwMKVcNIxV&LH_Auction=1
"Sold  Jan 18, 2019 AUTHENTIC MEDIEVAL VIKING ERA BRONZE BRACELET WITH DRAGON HEADS",$56.55,"Moscow, Russian Federation",https://www.ebay.com/itm/AUTHENTIC-MEDIEVAL-VIKING-ERA-BRONZE-BRACELET-WITH-DRAGON-HEADS/183626338499?hash=item2ac0fb90c3%3Ag%3A7yEAAOSwQqZcNIuO&LH_Auction=1
