Object,Price,Location,Link
"Sold  Jan 27, 2019 Judaea Byzantine 7c.AD (Justinian) Lead Bulla Angel / Emperor, CHI-RHO, CHI RHO.",$59.99,"Jerusalem, default, Israel",https://www.ebay.com/itm/Judaea-Byzantine-7c-AD-Justinian-Lead-Bulla-Angel-Emperor-CHI-RHO-CHI-RHO/372573992369?hash=item56bf23f5b1%3Ag%3A9hQAAOSwPCVX6T73&LH_Auction=1
"Sold  Jan 26, 2019 Roman / Early Christian seal ring with cross",$92.50,"Štúrovo, default, Slovakia",https://www.ebay.com/itm/Roman-Early-Christian-seal-ring-with-cross/292922043404?hash=item443383ac0c%3Ag%3A98kAAOSwb15cP4bs&LH_Auction=1
"Sold  Jan 26, 2019 EXTREMELY RARE EMPEROR AGATE ENCARVED WONDERFUL BRONZE RING #SH1253",$12.50,"bangkok, Thailand",https://www.ebay.com/itm/EXTREMELY-RARE-EMPEROR-AGATE-ENCARVED-WONDERFUL-BRONZE-RING-SH1253/163495363013?hash=item26111541c5%3Ag%3ASJsAAOSwYwZcQ1Wr&LH_Auction=1
"Sold  Jan 25, 2019 ANCIENT CANAANITE  STONE CYLINDER SEAL",$27.00,"DUBAI, DUBAI, United Arab Emirates",https://www.ebay.com/itm/ANCIENT-CANAANITE-STONE-CYLINDER-SEAL/283343741709?hash=item41f89a630d%3Ag%3A3kAAAOSw7MNcQdl2&LH_Auction=1
"Sold  Jan 24, 2019 An old antique Vintage stone of the Roman  used to link horses and cattle",$0.99,,
"Sold  Jan 23, 2019 Roman/Byzantine oil lamp c. 400-600 A.D. Ancient holy land",$19.00,"arad, default, Israel",https://www.ebay.com/itm/Roman-Byzantine-oil-lamp-c-400-600-A-D-Ancient-holy-land/233093070446?hash=item36456dfe6e%3Ag%3AiNgAAOSwa3FcFUz2&LH_Auction=1
"Sold  Jan 20, 2019 Ancient Holy Land Jerusalem Roman Ancient Clay Pottery Terracotta Oil Lamp LOT",$100.00,"Easton, Pennsylvania, United States",https://www.ebay.com/itm/Ancient-Holy-Land-Jerusalem-Roman-Ancient-Clay-Pottery-Terracotta-Oil-Lamp-LOT/292918192942?hash=item443348eb2e%3Ag%3AQ-8AAOSwWrxcO7a4&LH_Auction=1
"Sold  Jan 19, 2019 JUDAEA, Herod Archelaus. 4 BC. - AD. 6. Bronze Prutah",$20.00,"Green Bay, Wisconsin, United States",https://www.ebay.com/itm/JUDAEA-Herod-Archelaus-4-BC-AD-6-Bronze-Prutah/264133094702?hash=item3d7f8f2d2e%3Ag%3APrsAAOSwTxhcFGFQ&LH_Auction=1
"Sold  Jan 17, 2019 Tabloa Khanium Egypt Rare Old Silver Tower Antique Ring With Unique Coin #SR0125",$37.00,"bangkok, Thailand",https://www.ebay.com/itm/Tabloa-Khanium-Egypt-Rare-Old-Silver-Tower-Antique-Ring-With-Unique-Coin-SR0125/163480554863?hash=item2610334d6f%3Ag%3AbSYAAOSw8iZcN5Gg&LH_Auction=1
"Sold  Jan 16, 2019 Battle ax - late bronze Age, 5 century BC",$76.00,"Kiev, Ukraine",https://www.ebay.com/itm/Battle-ax-late-bronze-Age-5-century-BC/233083611755?hash=item3644ddaa6b%3Ag%3ATM0AAOSwnCdcMnkI&LH_Auction=1
"Sold  Jan 16, 2019 Medieval Old Unique Bronze King Face Wonerful Ring #SR347",$9.99,"BKK, Thailand",https://www.ebay.com/itm/Medieval-Old-Unique-Bronze-King-Face-Wonerful-Ring-SR347/153334221403?hash=item23b36e8a5b%3Ag%3AtIsAAOSwrTVcNk53&LH_Auction=1
"Sold  Jan 15, 2019 Ancient Clay Tablet Seal Holy Land Two Rulers No Reserve",$49.00,"Blackstone, Massachusetts, United States",https://www.ebay.com/itm/Ancient-Clay-Tablet-Seal-Holy-Land-Two-Rulers-No-Reserve/401682234983?hash=item5d86207e67%3Ag%3AyTgAAOSwSMxcNRhD&LH_Auction=1
"Sold  Jan 15, 2019 ANTIQUE STONE EYE IDOL",$54.00,"Lummi Island, Washington, United States",https://www.ebay.com/itm/ANTIQUE-STONE-EYE-IDOL/273646188045?hash=item3fb695760d%3Ag%3AxqQAAOSw4sNcNP3I&LH_Auction=1
"Sold  Jan 13, 2019 BIG Scarab stone seal Hixos / JUDAEA Middle bronze Canaanite 2000-1550 BC.",$349.99,"Jerusalem, default, Israel",https://www.ebay.com/itm/BIG-Scarab-stone-seal-Hixos-JUDAEA-Middle-bronze-Canaanite-2000-1550-BC/392209440683?hash=item5b51811fab%3Ag%3Ah4AAAOSwEUdcMglO&LH_Auction=1
"Sold  Jan 13, 2019 Iron age II JUDAEA Juglet 9-8 Century BC. Ancient Holy Land Judea Temple times.",$79.99,"Jerusalem, default, Israel",https://www.ebay.com/itm/Iron-age-II-JUDAEA-Juglet-9-8-Century-BC-Ancient-Holy-Land-Judea-Temple-times/392209435789?hash=item5b51810c8d%3Ag%3AU2UAAOSwCVtcLz1O&LH_Auction=1
"Sold  Jan 13, 2019 Canaanite Early Bronze age circa 3000 BC. Terracotta Globular BOWL. Holy Land",$83.02,"Jerusalem, default, Israel",https://www.ebay.com/itm/Canaanite-Early-Bronze-age-circa-3000-BC-Terracotta-Globular-BOWL-Holy-Land/392209432972?hash=item5b5181018c%3Ag%3ALDMAAOSwmPlcLzbB&LH_Auction=1
"Sold  Jan 13, 2019 Canaanite Early Bronze age circa 3000BC.Terracotta Shelf-Handle Bowl, Holy Land.",$119.99,"Jerusalem, default, Israel",https://www.ebay.com/itm/Canaanite-Early-Bronze-age-circa-3000BC-Terracotta-Shelf-Handle-Bowl-Holy-Land/392209432279?hash=item5b5180fed7%3Ag%3A7ZkAAOSwEGBcLzOA&LH_Auction=1
"Sold  Jan 12, 2019 The Land And The Book - Volume 1 Southern Palestine & Jerusalem - 1880",$4.00,"Morganton, Georgia, United States",https://www.ebay.com/itm/The-Land-And-The-Book-Volume-1-Southern-Palestine-Jerusalem-1880/264120489508?hash=item3d7eced624%3Ag%3AoKYAAOSwhEhcCcPw&LH_Auction=1
"Sold  Jan 11, 2019 ANTIQUE MEDIEVAL CRUSADER'S KNIGHT SWORD GERMAN ENGLISH ITALIAN, MOON MARKINGS",$599.00,"Wallingford, Connecticut, United States",https://www.ebay.com/itm/ANTIQUE-MEDIEVAL-CRUSADERS-KNIGHT-SWORD-GERMAN-ENGLISH-ITALIAN-MOON-MARKINGS/233081469349?hash=item3644bcf9a5%3Ag%3AZ8kAAOSwWlVcEyrF&LH_Auction=1
"Sold  Jan 11, 2019 Atq c1910-30 Grand Colonnade of Palmyra Syria Glass Plate Photo Neg w/ 3 people",$8.99,"Seattle, Washington, United States",https://www.ebay.com/itm/Atq-c1910-30-Grand-Colonnade-of-Palmyra-Syria-Glass-Plate-Photo-Neg-w-3-people/303019284408?hash=item468d5b57b8%3Ag%3AdB4AAOSwdrhbw6IW&LH_Auction=1
"Sold  Jan 11, 2019 Vintage Silver plated Wine Cup From Jerusalem Kiddush Goblet Heavy Holy Copper",$19.99,"Holy land, Israel",https://www.ebay.com/itm/Vintage-Silver-plated-Wine-Cup-From-Jerusalem-Kiddush-Goblet-Heavy-Holy-Copper/153328455624?hash=item23b3168fc8%3Ag%3A7JkAAOSw28dcL7GJ&LH_Auction=1
"Sold  Jan 9, 2019 ANCIENT CANAANITE  STONE CYLINDER SEAL",$28.00,"DUBAI, DUBAI, United Arab Emirates",https://www.ebay.com/itm/ANCIENT-CANAANITE-STONE-CYLINDER-SEAL/273636597559?hash=item3fb6031f37%3Ag%3ApEYAAOSwXIdcLP%7EB&LH_Auction=1
"Sold  Jan 6, 2019 Roommate - Size S/M - Icy heart.  Fair condition.",$7.50,,
"Sold  Jan 6, 2019 RECENT EXPLORATIONS IN PALESTINE - 1916 - Cobern - Several Photographs",$5.99,,
"Sold  Jan 6, 2019 Excellent Ancient Luristan Unique Bronze Bowl Ca.1st millennium B.C.#SR425",$71.00,"BKK, Thailand",https://www.ebay.com/itm/Excellent-Ancient-Luristan-Unique-Bronze-Bowl-Ca-1st-millennium-B-C-SR425/153322707771?hash=item23b2bedb3b%3Ag%3ASXUAAOSw8kRcKR-L&LH_Auction=1
"Sold  Jan 4, 2019 3 Kings Nativity Large Vintage 1970s Estate",$20.00,"Ocoee, Florida, United States",https://www.ebay.com/itm/3-Kings-Nativity-Large-Vintage-1970s-Estate/183608823566?hash=item2abff04f0e%3Ag%3AFX4AAOSwhrpcCqHf&LH_Auction=1
"Sold  Jan 2, 2019 1714 RELAND PALESTINE Israel HOLY LAND Judaica HEBREW GREEK ARABIC Bible Maps",$810.00,"Salt Lake City, Utah, United States",https://www.ebay.com/itm/1714-RELAND-PALESTINE-Israel-HOLY-LAND-Judaica-HEBREW-GREEK-ARABIC-Bible-Maps/292894057958?hash=item4431d8a5e6%3Ag%3AAPwAAOSwYTtcJuym&LH_Auction=1
