Date,Object,Price,Location,Category,Object Type,Material,Link
2019-02-13 00:00:00,"Sold Feb 13 , 2019 1 Ancient Celtic Glass Bead Celts VERY RARE ! TOP ! ! ",11.5,Germany,celtic | ,jewellery | ,glass | ,https://www.ebay.com/itm/1-Ancient-Celtic-Glass-Bead-Celts-VERY-RARE-TOP/143122979175?hash=item2152cb5967%3Ag%3A5MYAAOSw9GdcXaHS&LH_Auction=1
2019-02-12 00:00:00,"Sold Feb 12 , 2019 European Bronze Age knife fragment 4 1.4 d' ",30.0,United States,european | bronze age | ,weapon | tool | ,metal | ,https://www.ebay.com/itm/European-Bronze-Age-knife-fragment-4-1-4/123631946074?hash=item1cc909c95a%3Ag%3ASLQAAOSwew9cTUqY&LH_Auction=1
2019-02-12 00:00:00,"Sold Feb 12 , 2019 MINT Royal Coats Of Arms Badges ( 52 ) Brilliant Legacy ( RARE ) . BUY BUY BUY ! ",80.0,United States,?,?,?,https://www.ebay.com/itm/MINT-Royal-Coats-Of-Arms-Badges-52-Brilliant-Legacy-RARE-BUY-BUY-BUY/264183510866?hash=item3d82907752%3Ag%3AUoUAAOSwJtJcBczl&LH_Auction=1
2019-02-11 00:00:00,"Sold Feb 11 , 2019 a45 . Celtic style bronze boar figurine ",17.0,Bulgaria,celtic | ,statue | ,metal | ,https://www.ebay.com/itm/A453-Celtic-style-bronze-boar-figurine/233128750237?hash=item36478e6c9d%3Ag%3AxD0AAOSwZntcYHBe&LH_Auction=1
2019-02-10 00:00:00,"Sold Feb 10 , 2019 Three ancient rings with symbols of the sun 13.15 century ",11.0,United States,?,jewellery | ,?,https://www.ebay.com/itm/Three-ancient-rings-with-symbols-of-the-sun-13-15-century/333057031791?hash=item4d8bbefe6f%3Ag%3A7OQAAOSwGyZcWhnK&LH_Auction=1
2019-02-09 00:00:00,"Sold Feb 9 , 2019 RARE ROMAN LEGIONARY FIBULA ",11.15,Slovakia,roman | ,clothing | ,?,https://www.ebay.com/itm/RARE-ROMAN-LEGIONARY-FIBULA/273683141054?hash=item3fb8c951be%3Ag%3AwDgAAOSwgZlcVgv%7E&LH_Auction=1
