Object,Price,Location,Seller,Link
"Oct 3, 2019 Iron Arrowheads 3pc. Scythian 500-100BC.",$10.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Arrowheads-3pc-Scythian-500-100BC/223678384288?hash=item34144548a0%3Ag%3AQtAAAOSw9PVdiSdn&LH_Auction=1
"Oct 3, 2019 Iron Arrowheads 3pc. Scythian 500-100BC.",$10.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Arrowheads-3pc-Scythian-500-100BC/223678384288?hash=item34144548a0%3Ag%3AQtAAAOSw9PVdiSdn&LH_Auction=1
"Oct 3, 2019 Iron Arrowheads 3pc. Scythian 500-100BC.",$10.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Arrowheads-3pc-Scythian-500-100BC/223678384288?hash=item34144548a0%3Ag%3AQtAAAOSw9PVdiSdn&LH_Auction=1
"Oct 3, 2019 Iron Arrowheads 3pc. Scythian 500-100BC.",$10.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Arrowheads-3pc-Scythian-500-100BC/223678384288?hash=item34144548a0%3Ag%3AQtAAAOSw9PVdiSdn&LH_Auction=1
"Oct 3, 2019 Iron Large Spear 105/115mm. 2pc. / Scythian 500-100BC.",$10.00,"Moscow, Russian Federation",antique-museum,https://www.ebay.com/itm/Iron-Large-Spear-105-115mm-2pc-Scythian-500-100BC/223678327769?hash=item3414446bd9%3Ag%3AyHEAAOSwqSZdiRnK&LH_Auction=1
"Oct 2, 2019 500-200 BC Ancient Celtic Ring Money Proto-Coin Authentic Artifact Currency Old",$11.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/500-200-BC-Ancient-Celtic-Ring-Money-Proto-Coin-Authentic-Artifact-Currency-Old/274025246934?hash=item3fcd2d70d6%3Ag%3AAggAAOSw78hdZXcx&LH_Auction=1
"Oct 2, 2019 ANCIENT BRONZE EARLY CELTIC AXE 13 CM",$93.00,"Lviv, Ukraine",tasya729,https://www.ebay.com/itm/ANCIENT-BRONZE-EARLY-CELTIC-AXE-13-CM/183966239541?hash=item2ad53e0b35%3Ag%3AbasAAOSwRS9dh8B2&LH_Auction=1
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$35.00,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$35.56,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
"Oct 2, 2019 Roman  Celtic ancient  8  brooches fibula 1 century AD",$42.86,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-century-AD/163884582608?hash=item26284846d0%3Ag%3APTQAAOSwCtFdkOwY&LH_Auction=1
