Object,Price,Location,Seller,Link
"Oct 4, 2019 Pre-Columbian Translucent Tubular Bead, Stone Bead, Costa Rica,  Authentic",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Translucent-Tubular-Bead-Stone-Bead-Costa-Rica-Authentic/153660974632?hash=item23c6e86628%3Ag%3As7QAAOSwQG9dji4B&LH_Auction=1
"Oct 4, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #8a",$8.09,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-8a/233354928591?hash=item365509a1cf%3Ag%3AEIIAAOSwatddSE%7EQ&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Jade Beads, Jade Beads Pair of 2 Central America",$11.50,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Beads-Jade-Beads-Pair-of-2-Central-America/153660944535?hash=item23c6e7f097%3Ag%3Aox8AAOSwwD1djiZf&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Jade Beads, Jade Beads Pair of 2 Central America",$14.50,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Beads-Jade-Beads-Pair-of-2-Central-America/153660944535?hash=item23c6e7f097%3Ag%3Aox8AAOSwwD1djiZf&LH_Auction=1
"Oct 4, 2019 HOPEWELL PLATFORM PIPE",$180.00,"Sequim, Washington, United States",chinook113,https://www.ebay.com/itm/HOPEWELL-PLATFORM-PIPE/303302943762?hash=item469e43a412%3Ag%3Aa4oAAOSw2rJdilAI&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Stone Spindle Bead",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Stone-Spindle-Bead/153660923106?hash=item23c6e79ce2%3Ag%3AVYgAAOSwiHRdjiC2&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Shell Beads",$14.08,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Shell-Beads/153660874917?hash=item23c6e6e0a5%3Ag%3AbVMAAOSw-a5djhT8&LH_Auction=1
"Oct 4, 2019 Pre-Columbian Avian Bone Bead",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Avian-Bone-Bead/153660864534?hash=item23c6e6b816%3Ag%3AqO0AAOSwxjxdjhP2&LH_Auction=1
"Oct 4, 2019 Authentic Pre-Columbian Carved Green Jade Pendant Bead",$9.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Authentic-Pre-Columbian-Carved-Green-Jade-Pendant-Bead/153660854335?hash=item23c6e6903f%3Ag%3A2u0AAOSwBEJdjhKa&LH_Auction=1
"Oct 3, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #9a",$8.59,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-9a/233354470107?hash=item365502a2db%3Ag%3A5JEAAOSw%7EhNdXZsW&LH_Auction=1
"Oct 3, 2019 Old dirk the F-S Fighting knife",$100.00,"Tacoma, Washington, United States",brodekula,https://www.ebay.com/itm/Old-dirk-the-F-S-Fighting-knife/113904119431?hash=item1a8536ee87%3Ag%3ATK8AAOSwiCFdjUnD&LH_Auction=1
"Oct 3, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 1913",$7.56,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-1913/233354425118?hash=item365501f31e%3Ag%3AQmEAAOSwXKRdcAMT&LH_Auction=1
"Oct 3, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #6a",$8.56,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-6a/233354312098?hash=item36550039a2%3Ag%3AaBQAAOSwRfNdf6LO&LH_Auction=1
"Oct 2, 2019 Ancient Pre-Columbian Mayan. Black Maya Jade Stone Pendant- Rare mayan symbol",$200.00,"Los Angeles, California, United States",dianamoreno_8,https://www.ebay.com/itm/Ancient-Pre-Columbian-Mayan-Black-Maya-Jade-Stone-Pendant-Rare-mayan-symbol/264478169066?hash=item3d942097ea%3Ag%3AWMsAAOSwMSZdgvPJ&LH_Auction=1
"Oct 2, 2019 Lot of 4 ""Two Bits"" Early America Spanish Pirate Cob #10a",$9.00,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/Lot-of-4-Two-Bits-Early-America-Spanish-Pirate-Cob-10a/233353658123?hash=item3654f63f0b%3Ag%3AkyYAAOSwmUNde7QM&LH_Auction=1
"Oct 2, 2019 3 Pirate Era - 1600's Early America Spanish Bronze Cobs Exact Lot Shown 1914",$9.50,"Saint Paul, Minnesota, United States",estatebureau,https://www.ebay.com/itm/3-Pirate-Era-1600s-Early-America-Spanish-Bronze-Cobs-Exact-Lot-Shown-1914/383179269135?hash=item593743a40f%3Ag%3AmFoAAOSw4QJdcAMP&LH_Auction=1
"Oct 2, 2019 Test Listing",$0.01,"Bridgewater, New Jersey, United States",fire_in_a_box,https://www.ebay.com/itm/Test-Listing/283625072418?hash=item42095f2722%3Ag%3AG28AAOSwmnxdi%7Eha&LH_Auction=1
"Oct 2, 2019 5 Old South American & Asian Green Jade Beads Antique Stone Trade Jewelry Gem",$9.50,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/5-Old-South-American-Asian-Green-Jade-Beads-Antique-Stone-Trade-Jewelry-Gem/274025246942?hash=item3fcd2d70de%3Ag%3A2jEAAOSweR9dYf%7Eo&LH_Auction=1
"Oct 2, 2019 5 Mayan Culture Pre Or Post Columbian Green Jade Or Stone Beads Central America",$20.00,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/5-Mayan-Culture-Pre-Or-Post-Columbian-Green-Jade-Or-Stone-Beads-Central-America/274025246354?hash=item3fcd2d6e92%3Ag%3A-AcAAOSwm31digin&LH_Auction=1
"Oct 2, 2019 More Q Swag - usual blue and green",$200.00,"Washington, Michigan, United States",ws6mark,https://www.ebay.com/itm/More-Q-Swag-usual-blue-and-green/183980281416?hash=item2ad6144e48%3Ag%3A-vkAAOSwuiddlQv7&LH_Auction=1
"Oct 2, 2019 100% AUTHENTIC~Mayan Jaina Clay Monkey Figure~with Provenance",$9.99,"Hollywood, Florida, United States",megadeuce77,https://www.ebay.com/itm/100-AUTHENTIC-Mayan-Jaina-Clay-Monkey-Figure-with-Provenance/254370460310?hash=item3b39a93296%3Ag%3ADO8AAOSwb39di8oR&LH_Auction=1
"Oct 2, 2019 Pre-Columbian Jade Bead, Round Jade Bead, Green Jade, Central America",$18.99,"West Palm Beach, Florida, United States",us.e548,https://www.ebay.com/itm/Pre-Columbian-Jade-Bead-Round-Jade-Bead-Green-Jade-Central-America/153658064775?hash=item23c6bbff87%3Ag%3AZzoAAOSwJHZdi6vK&LH_Auction=1
