Object,Price,Location,Seller,Link
"Sep 12, 2019 ANCIENT BYZANTINE MEDIEVAL BRONZE MEDALLION PENDANT CIRCA 800-1200 AD",$9.99,"EU, France",shtil42-4,https://www.ebay.com/itm/ANCIENT-BYZANTINE-MEDIEVAL-BRONZE-MEDALLION-PENDANT-CIRCA-800-1200-AD/303275352875?hash=item469c9ea32b%3Ag%3AuVUAAOSwI91dcWTY&LH_Auction=1
"Sep 11, 2019 Late Medieval European Crucifix Artifact Byzantine Cross Russian Orthodox Relic",$9.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/Late-Medieval-European-Crucifix-Artifact-Byzantine-Cross-Russian-Orthodox-Relic/273994749696?hash=item3fcb5c1700%3Ag%3A5KIAAOSwIORdZGMN&LH_Auction=1
"Sep 11, 2019 Byzantine Cross Artifact Late Medieval European Russian Orthodox Pendant Copper",$8.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/Byzantine-Cross-Artifact-Late-Medieval-European-Russian-Orthodox-Pendant-Copper/273994746827?hash=item3fcb5c0bcb%3Ag%3AC-EAAOSwlHJdTDSZ&LH_Auction=1
"Sep 11, 2019 Byzantine Cross Artifact Late Medieval European Orthodox Pendant W/ Info Card",$9.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/Byzantine-Cross-Artifact-Late-Medieval-European-Orthodox-Pendant-W-Info-Card/273994746868?hash=item3fcb5c0bf4%3Ag%3AGS0AAOSwh8VdTKCE&LH_Auction=1
"Sep 11, 2019 15 Ancient & Medieval Glass Beads Old — Roman Viking Venetian Byzantine — Green",$14.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/15-Ancient-Medieval-Glass-Beads-Old-Roman-Viking-Venetian-Byzantine-Green/273994746905?hash=item3fcb5c0c19%3Ag%3AU6sAAOSwZnRdVdKF&LH_Auction=1
"Sep 11, 2019 RARE 500-1300 AD Crusades Christian Relic Artifact Medieval Copper Authentic Old",$19.95,"Auburn, Alabama, United States",worleyenterprisesinternationalllc,https://www.ebay.com/itm/RARE-500-1300-AD-Crusades-Christian-Relic-Artifact-Medieval-Copper-Authentic-Old/273994746707?hash=item3fcb5c0b53%3Ag%3AhcsAAOSwX4FdYdcJ&LH_Auction=1
"Sep 11, 2019 Byzantine Bronze Christian Cross Pendant",$17.99,"European Union, Bulgaria",hi*dealer,https://www.ebay.com/itm/Byzantine-Bronze-Christian-Cross-Pendant/392419851633?hash=item5b5e0bbd71%3Ag%3AnmAAAOSwC5RckSw4&LH_Auction=1
"Sep 11, 2019 Byzantine Bronze Christian Cross Pendant",$17.99,"European Union, Bulgaria",hi*dealer,https://www.ebay.com/itm/Byzantine-Bronze-Christian-Cross-Pendant/392419851630?hash=item5b5e0bbd6e%3Ag%3A3YkAAOSwFp5c0Y97&LH_Auction=1
"Sep 11, 2019 Byzantine cross (12-14th centuries)medieval  Metal detector finds 100%original",$1.00,"Klimovsk, Russian Federation",artifacts_and_coins,https://www.ebay.com/itm/Byzantine-cross-12-14th-centuries-medieval-Metal-detector-finds-100-original/113873445458?hash=item1a8362e252%3Ag%3A2K0AAOSwl-Nda%7E33&LH_Auction=1
"Sep 11, 2019 Byzantine cross (12-14th centuries)medieval  Metal detector finds 100%original",$1.00,"Klimovsk, Russian Federation",artifacts_and_coins,https://www.ebay.com/itm/Byzantine-cross-12-14th-centuries-medieval-Metal-detector-finds-100-original/113873445458?hash=item1a8362e252%3Ag%3A2K0AAOSwl-Nda%7E33&LH_Auction=1
